tm,DVm,PVm
1.050000000000000000e+02,1.000000000000000000e+00,9.649999999999998856e-02
1.060000000000000000e+02,1.000000000000000000e+00,9.749999999999996170e-02
1.070000000000000000e+02,1.000000000000000000e+00,1.037499999999999672e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.090000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.047499999999999404e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.095000000000000695e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.095000000000000695e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.207499999999999546e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.207499999999999546e-01
1.190000000000000000e+02,1.000000000000000000e+00,1.207499999999999546e-01
1.200000000000000000e+02,1.000000000000000000e+00,1.199999999999999262e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.224999999999999700e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.287499999999999756e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.279999999999999472e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.312500000000000056e-01
1.250000000000000000e+02,1.000000000000000000e+00,1.369999999999999274e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.369999999999999274e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.345000000000000639e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.352499999999999258e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.449999999999999345e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.449999999999999345e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.449999999999999345e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.482499999999999929e-01
1.330000000000000000e+02,1.000000000000000000e+00,1.529999999999999416e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.392500000000000127e-01
1.350000000000000000e+02,1.000000000000000000e+00,1.529999999999999416e-01
1.360000000000000000e+02,1.000000000000000000e+00,1.537499999999999700e-01
1.370000000000000000e+02,1.000000000000000000e+00,1.544999999999999984e-01
1.380000000000000000e+02,1.000000000000000000e+00,1.537499999999999700e-01
1.390000000000000000e+02,1.000000000000000000e+00,1.562500000000000000e-01
1.400000000000000000e+02,1.000000000000000000e+00,1.587500000000000300e-01
1.410000000000000000e+02,1.000000000000000000e+00,1.609999999999999487e-01
1.420000000000000000e+02,1.000000000000000000e+00,1.609999999999999487e-01
1.430000000000000000e+02,1.000000000000000000e+00,1.642499999999998406e-01
1.440000000000000000e+02,1.000000000000000000e+00,1.682500000000000939e-01
1.450000000000000000e+02,1.000000000000000000e+00,1.690000000000001223e-01
1.460000000000000000e+02,1.000000000000000000e+00,1.690000000000001223e-01
1.470000000000000000e+02,1.000000000000000000e+00,1.690000000000001223e-01
1.480000000000000000e+02,1.000000000000000000e+00,1.690000000000001223e-01
1.490000000000000000e+02,1.000000000000000000e+00,1.690000000000001223e-01
1.500000000000000000e+02,1.000000000000000000e+00,1.690000000000001223e-01
1.510000000000000000e+02,1.000000000000000000e+00,1.699999999999999289e-01
1.520000000000000000e+02,1.000000000000000000e+00,1.754999999999999061e-01
1.530000000000000000e+02,1.000000000000000000e+00,1.714999999999999858e-01
1.540000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01
1.550000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01
1.560000000000000000e+02,1.000000000000000000e+00,1.754999999999999061e-01
1.570000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01
1.580000000000000000e+02,1.000000000000000000e+00,1.787500000000001310e-01
1.590000000000000000e+02,1.000000000000000000e+00,1.762499999999999345e-01
1.600000000000000000e+02,1.000000000000000000e+00,1.835000000000000797e-01
1.610000000000000000e+02,1.000000000000000000e+00,1.852499999999999147e-01
1.620000000000000000e+02,1.000000000000000000e+00,1.852499999999999147e-01
1.630000000000000000e+02,1.000000000000000000e+00,1.852499999999999147e-01
1.640000000000000000e+02,1.000000000000000000e+00,1.899999999999998634e-01
1.650000000000000000e+02,1.000000000000000000e+00,1.925000000000000600e-01
1.660000000000000000e+02,1.000000000000000000e+00,1.932500000000000884e-01
1.670000000000000000e+02,1.000000000000000000e+00,1.932500000000000884e-01
1.680000000000000000e+02,1.000000000000000000e+00,1.940000000000001168e-01
1.690000000000000000e+02,1.000000000000000000e+00,1.997499999999998721e-01
1.700000000000000000e+02,1.000000000000000000e+00,2.004999999999999005e-01
