tm,MVm,PVm
5.800000000000000000e+01,1.000000000000000000e+00,1.087500000000000411e-01
5.900000000000000000e+01,1.000000000000000000e+00,1.120000000000000995e-01
6.000000000000000000e+01,1.000000000000000000e+00,1.120000000000000995e-01
6.100000000000000000e+01,1.000000000000000000e+00,1.127500000000001279e-01
6.200000000000000000e+01,1.000000000000000000e+00,1.200000000000001066e-01
6.300000000000000000e+01,1.000000000000000000e+00,1.200000000000001066e-01
6.400000000000000000e+01,1.000000000000000000e+00,1.200000000000001066e-01
6.500000000000000000e+01,1.000000000000000000e+00,1.200000000000001066e-01
6.600000000000000000e+01,1.000000000000000000e+00,1.207499999999999546e-01
6.700000000000000000e+01,1.000000000000000000e+00,1.265000000000000568e-01
6.800000000000000000e+01,1.000000000000000000e+00,1.280000000000001137e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.280000000000001137e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.345000000000000639e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.362500000000000655e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.362500000000000655e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.410000000000000142e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.442500000000000726e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.450000000000001010e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.507500000000000229e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.522500000000000797e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.522500000000000797e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.530000000000001081e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.570000000000000284e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.602500000000000868e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.602500000000000868e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.682500000000000939e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.652499999999999802e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.682500000000000939e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.682500000000000939e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.724999999999999589e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.765000000000000457e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.765000000000000457e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.765000000000000457e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.797500000000001319e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.845000000000000528e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.812499999999999944e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.845000000000000528e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.870000000000001106e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.925000000000000600e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.925000000000000600e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.925000000000000600e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.910000000000000031e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.925000000000000600e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.925000000000000600e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.925000000000000600e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.990000000000000102e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.997500000000000386e-01
1.050000000000000000e+02,1.000000000000000000e+00,2.005000000000000671e-01
1.060000000000000000e+02,1.000000000000000000e+00,2.005000000000000671e-01
1.070000000000000000e+02,1.000000000000000000e+00,2.015000000000000679e-01
1.080000000000000000e+02,1.000000000000000000e+00,2.087500000000000466e-01
1.090000000000000000e+02,1.000000000000000000e+00,2.087500000000000466e-01
1.100000000000000000e+02,1.000000000000000000e+00,2.110000000000001319e-01
1.110000000000000000e+02,1.000000000000000000e+00,2.167500000000000537e-01
1.120000000000000000e+02,1.000000000000000000e+00,2.167500000000000537e-01
1.130000000000000000e+02,1.000000000000000000e+00,2.214999999999999747e-01
1.140000000000000000e+02,1.000000000000000000e+00,2.232500000000000040e-01
1.150000000000000000e+02,1.000000000000000000e+00,2.247500000000000608e-01
1.160000000000000000e+02,1.000000000000000000e+00,2.247500000000000608e-01
1.170000000000000000e+02,1.000000000000000000e+00,2.304999999999999827e-01
1.180000000000000000e+02,1.000000000000000000e+00,2.327500000000000679e-01
1.190000000000000000e+02,1.000000000000000000e+00,2.407500000000000751e-01
1.200000000000000000e+02,1.000000000000000000e+00,2.407500000000000751e-01
1.210000000000000000e+02,1.000000000000000000e+00,2.457499999999999685e-01
1.220000000000000000e+02,1.000000000000000000e+00,2.490000000000000269e-01
1.230000000000000000e+02,1.000000000000000000e+00,2.490000000000000269e-01
1.240000000000000000e+02,1.000000000000000000e+00,2.512500000000000844e-01
1.250000000000000000e+02,1.000000000000000000e+00,2.512500000000000844e-01
1.260000000000000000e+02,1.000000000000000000e+00,2.545000000000000040e-01
1.270000000000000000e+02,1.000000000000000000e+00,2.552500000000000324e-01
1.280000000000000000e+02,1.000000000000000000e+00,2.552500000000000324e-01
1.290000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.300000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.310000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.320000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.330000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.340000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.350000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.360000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
1.370000000000000000e+02,1.000000000000000000e+00,2.602500000000000924e-01
1.380000000000000000e+02,1.000000000000000000e+00,2.610000000000001208e-01
1.390000000000000000e+02,1.000000000000000000e+00,2.650000000000000133e-01
1.400000000000000000e+02,1.000000000000000000e+00,2.730000000000000204e-01
1.410000000000000000e+02,1.000000000000000000e+00,2.722499999999999920e-01
1.420000000000000000e+02,1.000000000000000000e+00,2.730000000000000204e-01
1.430000000000000000e+02,1.000000000000000000e+00,2.730000000000000204e-01
1.440000000000000000e+02,1.000000000000000000e+00,2.730000000000000204e-01
1.450000000000000000e+02,1.000000000000000000e+00,2.730000000000000204e-01
1.460000000000000000e+02,1.000000000000000000e+00,2.755000000000000782e-01
